hour,registration,unique_flights,position_records,avg_altitude,min_altitude,low_altitude_count,hover_count,total_hover_seconds
2024-07-17 00:00:00+00,N622FB,1,1,1875.0000000000000000,1875,0,0,0
2024-07-17 06:00:00+00,N622FB,1,1,1875.0000000000000000,1875,0,0,0
2024-07-20 00:00:00+00,N622FB,1,1,1950.0000000000000000,1950,0,0,0
2024-07-23 18:00:00+00,N621FB,1,1,1950.0000000000000000,1950,0,0,0
2024-07-27 00:00:00+00,N622FB,1,1,2075.0000000000000000,2075,0,0,0
2024-07-29 06:00:00+00,N622FB,1,1,1925.0000000000000000,1925,0,0,0
2024-07-31 06:00:00+00,N621FB,1,1,1925.0000000000000000,1925,0,0,0
2024-08-07 00:00:00+00,N621FB,1,1,2025.0000000000000000,2025,0,0,0
2024-08-07 06:00:00+00,N622FB,1,1,1900.0000000000000000,1900,0,0,0
2024-08-07 18:00:00+00,N621FB,1,1,1800.0000000000000000,1800,0,0,0
2024-08-08 18:00:00+00,N621FB,1,1,1900.0000000000000000,1900,0,0,0
2024-08-09 06:00:00+00,N622FB,1,1,1875.0000000000000000,1875,0,0,0
2024-08-10 00:00:00+00,N622FB,1,1,1825.0000000000000000,1825,0,0,0
2024-08-12 06:00:00+00,N621FB,1,1,1875.0000000000000000,1875,0,0,0
2024-08-13 00:00:00+00,N621FB,1,1,1850.0000000000000000,1850,0,0,0
2024-08-15 00:00:00+00,N621FB,1,1,1900.0000000000000000,1900,0,0,0
2024-08-15 06:00:00+00,N622FB,1,1,2025.0000000000000000,2025,0,0,0
2024-08-17 00:00:00+00,N621FB,1,1,1875.0000000000000000,1875,0,0,0
2024-08-17 06:00:00+00,N622FB,1,1,1800.0000000000000000,1800,0,0,0
2024-08-18 06:00:00+00,N622FB,1,1,1950.0000000000000000,1950,0,0,0
2024-08-21 00:00:00+00,N621FB,1,1,1925.0000000000000000,1925,0,0,0
2024-08-21 06:00:00+00,N621FB,1,1,2100.0000000000000000,2100,0,0,0
2024-08-21 18:00:00+00,N621FB,1,1,1850.0000000000000000,1850,0,0,0
2024-08-23 06:00:00+00,N622FB,1,1,1650.0000000000000000,1650,0,0,0
2024-08-24 00:00:00+00,N621FB,1,1,1750.0000000000000000,1750,0,0,0
2024-08-24 06:00:00+00,N622FB,1,1,1650.0000000000000000,1650,0,0,0
2024-08-25 00:00:00+00,N621FB,1,1,3050.0000000000000000,3050,0,0,0
2024-08-26 00:00:00+00,N621FB,1,1,1900.0000000000000000,1900,0,0,0
2024-08-27 00:00:00+00,N621FB,1,1,1850.0000000000000000,1850,0,0,0
2024-08-29 00:00:00+00,N621FB,1,1,1825.0000000000000000,1825,0,0,0
2024-08-31 00:00:00+00,N621FB,1,1,2050.0000000000000000,2050,0,0,0
2024-09-01 00:00:00+00,N622FB,1,1,2300.0000000000000000,2300,0,0,0
2024-09-02 06:00:00+00,N621FB,1,1,1725.0000000000000000,1725,0,0,0
2024-09-03 00:00:00+00,N622FB,1,1,2050.0000000000000000,2050,0,0,0
2024-09-03 06:00:00+00,N622FB,1,1,1775.0000000000000000,1775,0,0,0
2024-09-04 00:00:00+00,N622FB,1,1,2025.0000000000000000,2025,0,0,0
2024-09-05 06:00:00+00,N622FB,1,1,2050.0000000000000000,2050,0,0,0
2024-09-06 12:00:00+00,N622FB,1,1,2075.0000000000000000,2075,0,0,0
2024-09-06 18:00:00+00,N622FB,1,1,1575.0000000000000000,1575,0,0,0
2024-09-07 00:00:00+00,N622FB,1,1,1700.0000000000000000,1700,0,0,0
2024-09-07 06:00:00+00,N622FB,1,1,2325.0000000000000000,2325,0,0,0
2024-09-07 12:00:00+00,N622FB,1,1,1825.0000000000000000,1825,0,0,0
2024-09-08 00:00:00+00,N622FB,1,1,2000.0000000000000000,2000,0,0,0
2024-09-08 06:00:00+00,N622FB,1,1,1850.0000000000000000,1850,0,0,0
2024-09-09 00:00:00+00,N622FB,1,1,1950.0000000000000000,1950,0,0,0
2024-09-09 06:00:00+00,N622FB,1,1,1825.0000000000000000,1825,0,0,0
2024-09-10 00:00:00+00,N621FB,1,1,2050.0000000000000000,2050,0,0,0
2024-09-11 00:00:00+00,N624FB,1,1,2175.0000000000000000,2175,0,0,0
2024-09-12 06:00:00+00,N622FB,1,1,2125.0000000000000000,2125,0,0,0
2024-09-12 12:00:00+00,N622FB,1,1,2375.0000000000000000,2375,0,0,0
2024-09-14 15:00:00+00,N623FB,1,866,1838.5969976905311778,0,11,0,0
2024-09-14 16:00:00+00,N623FB,1,167,1818.1137724550898204,1450,0,0,0
2024-09-14 18:00:00+00,N623FB,2,749,1722.3297730307076101,0,14,0,0
2024-09-14 19:00:00+00,N623FB,1,241,1801.3485477178423237,0,3,0,0
2024-09-14 22:00:00+00,N622FB,2,456,2086.1293859649122807,0,7,0,0
2024-09-14 23:00:00+00,N622FB,1,806,2140.6637717121588089,0,3,0,0
2024-09-15 01:00:00+00,N622FB,1,18,1375.0000000000000000,0,6,0,0
